Id,Name
1,Basic Sword
2,Wood Shield
3,Lumber Axe
4,Basic Armor
5,Iron Sword
6,Reinforced Wood Shield
7,Iron Axe
8,Pratice Wand
9,Pratice Spellbook
10,Pratice Staff
11,Basic Bow
12,Basic Dagger
13,Iron Armor
14,Apprentice Cloth
15,Basic Leather Armor
16,Improved Iron Sword
17,Iron Shield
18,Battleaxe
19,Standard Wand
20,Standard Spellbook
21,Standard Staff
22,Enchanted Wood Bow
23,Iron Dagger
24,Improved Iron Armor
25,Mage Robe
26,Enchanted Leather Armor
27,Steel Sword
28,Steel Shield
29,Steel Axe
30,Magical Wand
31,Advance Spellbook
32,Magical Staff
33,Reinforce Bow
34,Steel Dagger
35,Enchanted Iron Armor
36,Magical Robe
37,Robinhood Cloth
38,Assaulter
39,Steel Boardsword
40,Heavy Steel Shield
41,Enchanted Steel Shield
42,Barberian Axe
43,Golden Axe
44,Fire Wand
45,Ice Wand
46,Book of Earth
47,Book of Thunder
48,Ice Staff
49,Fire Staff
50,Glided Wood Bow
51,Bone Bow
52,Curved Dragger
53,Evil Dragger
54,Infused Iron Armor
55,Infused Magical Robe
56,Infused Robinhood Cloth
57,Elemental Sword
58,Glided Steel Shield
59,Elemental Axe
60,Arcane Wand
61,Adapt Spellbook
62,Arcane Staff
63,Steel Bow
64,Elemental Dagger
65,Knight's Armor
66,Adapt's Cloth
67,Archer's Armor
68,Sword of Fire
69,Sword of Ice
70,Golden Shield
71,Bone Shield
72,Flaming Axe
73,Frozen Axe
74,Wand of Thor
75,Wand of Aya
76,Noble Spellbook
77,Evil Spellbook
78,Staff of Wind
79,Staff of Dark
80,Firey Bow
81,Frozen Bow
82,Flaming Dragger
83,Frozen Dragger
84,Elite Knight's Armor
85,Flaming Archmage Cloth
86,Enchanted Archer Armor
87,Runic Sword
88,Tower Shield
89,Mighty Steel Axe
90,Golden Flaming Wand
91,Master Spellbook
92,Spiral Staff
93,Metallic Crossbow
94,Katana
95,Royal Knight's Armor
96,Master's Cloth
97,Royal Archer's Armor
98,Ancient Sword
99,Torture Sword
100,Royal Tower Shield
101,Enhanted Tower Shield
102,Mighty Flaming Axe
103,Mighty Frozen Axe
104,Otherworldly Flame
105,Bloody Skull Wand
106,Royal Spellbook
107,Necromancer Spellbook
108,Windy Spiral
109,Dark Spiral
110,Frozen Crossbow
111,Windy Crossbow
112,Windy Katana
113,Thunder Katana
114,King Guard's Armor
115,Forzen Archmage Cloth
116,Elite Archer's Armor
117,Hero's Sword
118,Hero's Shield
119,Hero's Axe
120,Holy Wand
121,Ancient Tablet
122,Bright Crystal Staff
123,Hero's Bow
124,Kunai
125,Hero's Armor
126,Lab Mem's Cloth
127,Sniper Armor
128,Magma Lord's Anger
129,Devil's Gaze
130,Nature's Protector
131,Thunder Protector
132,Radiant Axe
133,Blood Lord Axe
134,Red Star Wand
135,Radiant Wand
136,Mini Spellbook
137,Forbidden Book
138,Glacier Staff
139,Magma Staff
140,Glacier Shot
141,Tempus Shot
142,Ninjato
143,Cross Knife
144,Honored Hero's Armor
145,Archmage's Robe
146,Honored Sniper Armor
147,Copper Ring
148,Iron Earring
149,Fang Necklace
150,Silver Ring
151,Golden Badge
152,Royal Brace
153,Mechanic Saber
154,Crystal Shield
155,Metallic Axe
156,Tonal Fork
157,Solider Battle Guide
158,Magnetic Rod
159,Pistol
160,Assault Dagger
161,Exo Skeleton
162,Prismatic Cloth
163,Invisible Cloth
164,Silver Comet
165,Vanquisher
166,Prismatic Shield
167,Energized Shield
168,Robotic Axe
169,Big Wrench
170,Improved Tonal Fork
171,Wand of Imminent Destruction
172,Book of Dimension
173,Book of Cage
174,Metallic Staff
175,Earth Crusher
176,Sniper
177,Automatic Rifle
178,Tri Assault
179,Beast Fang
180,Alloy Armor
181,Prismatic Robe
182,Shadow Walker
